date | item | file | change | test | on the harness | red | restored green
2026-09-20 | R8 guard: a raw INSERT INTO tasks in the path the old guard exempted | apps/api/src/migration/execute.ts | a raw `INSERT INTO tasks` appended to a migration module — the exact path check-role-guarded-tasks.mjs exempts by name, which is where the deleted Trello importer lived | guard: check:task-inserts | no | RED as expected (1 failed: apps/api/src/migration/execute.ts:225 raw INSERT INTO tasks outside the one door) | green (1 passed)
2026-09-20 | R9 guard: a task type emitted from apps/api/scripts with no SOP decision | apps/api/scripts/import-legacy.ts | a new `sourceType: 'legacy_import_review'` appended to a CLI script — the root the SOP-hook guard did not read until R9 | guard: check:sops | no | RED as expected (1 failed: legacy_import_review — emitted in apps/api/scripts/import-legacy.ts:110) | green (1 passed)
2026-09-20 | R17 harness taps: the Void control removed from the client page | apps/internal/app/clients/[id]/page.tsx | the whole sent-or-overdue Void fragment replaced by nothing; D1 cannot tap a control that is not there | harness: tests/ops-billing-taps.spec.ts | yes | RED as expected (2 failed: D1: the CEO voids a sent invoice and the row says why and who (1.5m) [phone]; D1: the CEO voids a sent invoice and the row says why and who (1.5m) [desk]) | green (6 passed)
2026-09-20 | ruling 10 engagement letter: the portal stamp removed | apps/api/src/modules/engagements/packet.ts | the master signature stamps no return, so a client who signed the packet in the portal still has every return blocked at Scheduled | api: test/return-controls.spec.ts | no | RED as expected (1 failed: the packet signature in the portal stamps the engagement letter on every return the client has) | green (20 passed)
2026-09-20 | ruling 11 preparer assignment: the preparer_required gate made unreachable | apps/api/src/modules/tax/pipeline.ts | the gate branch never taken, so preparation starts on a return assigned to nobody | api: test/return-controls.spec.ts | no | RED as expected (1 failed: preparation is refused until a preparer is named; the assign route refuses an inactive or wrong-role choice) | green (20 passed)
2026-09-20 | ruling 12 extension: the future-date refusal made unreachable | apps/api/src/modules/tax/extension.ts | the filed-date-in-future branch never taken, so an extension recorded as filed tomorrow buys a deadline off a filing nobody has made | api: test/return-controls.spec.ts | no | RED as expected (1 failed: recording an extension: the form, the day it was filed, and a derived deadline nobody types) | green (20 passed)
2026-09-20 | ruling 13 quoted range: the accepted quote's lines ignored, the base line alone | apps/api/src/modules/tax/routes.ts | the accepted quote's summed lines discarded, so the range falls back to the base return item and every quote with a schedule on it reads low | api: test/return-controls.spec.ts | no | RED as expected (3 failed: the quoted range covers the accepted quote’s schedules, and a fee equal to the quoted scope is inside it; a ranged line widens the quoted range at both ends; a pass-through is never part of the fee; role proof) | green (20 passed)
2026-09-20 | ruling 15 paper filing: a recorded mailing no longer satisfies its jurisdiction | apps/api/src/modules/tax/pipeline.ts | the satisfied filter reads accepted_on for every row, so a paper jurisdiction waits on an acknowledgment that never comes and the return never completes | api: test/completion.spec.ts | no | RED as expected (3 failed: a return declared federal e-file + IL paper completes on the federal acknowledgment plus the IL mailing; an old year defaults every jurisdiction to paper and completes on the mailings alone; role proof) | green (15 passed)
2026-09-20 | R14 the duplicate check: the query parameters transposed, so nothing is ever a duplicate | apps/api/src/modules/crm/routes.ts | GET /contacts/duplicate-check binds [email, phone, name] to $1/$2/$3, so the name is compared against an email and the check answers nothing | harness: tests/ops-add-client.spec.ts | yes | RED as expected (2 failed: the CEO adds a synthetic person, then types the same person again and reads the duplicate before anything is created (18.4s) [phone]; the CEO adds a synthetic person, then types the same person again and reads the duplicate before anything is created (16.4s) [desk]) | green (4 passed)
2026-09-20 | R16 import mode: the refusal in enqueueEffect made unreachable | apps/api/src/outbox.ts | the import-context branch in enqueueEffect never taken, so a client-facing effect enqueued during an import is written as a real pending row and the drain will send it | api: test/import-mode.spec.ts | no | RED as expected (4 failed: R16: an enqueue UNDER the import context is refused — no row — and audited by name; R16: the refusal reaches an enqueue several frames down, which is why it is ambient; R16: the context does not leak — after it returns, the same enqueue flows) | green (13 passed)
2026-09-20 | R16 import mode: the refusal in enqueueEffect made unreachable | apps/api/src/outbox.ts | the import-context branch in enqueueEffect never taken, so a client-facing effect enqueued during an import is written as a real pending row and the drain will send it | api: test/import-mode.spec.ts | no | RED as expected (4 failed: R16: an enqueue UNDER the import context is refused — no row — and audited by name; R16: the refusal reaches an enqueue several frames down, which is why it is ambient; R16: the context does not leak — after it returns, the same enqueue flows) | green (13 passed)
2026-09-20 | R22 cutover precondition: the no-active-tax-preparer refusal made unreachable | apps/api/src/modules/tax/import.ts | the refusal branch in assertImportPreconditions never taken, so an import runs with no active tax_preparer and every return it creates lands unassigned | api: test/trello-import.spec.ts | no | RED as expected (1 failed: R22: with NO active tax_preparer the import refuses, and the refusal says what to do) | green (9 passed)
2026-09-20 | R29 refund door: the webhook dedupe on the Stripe refund id disabled | apps/api/src/modules/billing/refunds.ts | the refund id the webhook inserts is suffixed with the Stripe event id, so ON CONFLICT (stripe_refund_id) never fires: charge.refunded for a refund the Ops door already made writes a SECOND invoice_refunds row and queues a SECOND client receipt | api: test/refund-control.spec.ts | no | RED as expected (2 failed: charge.refunded for a refund the door made: the same row, one receipt, one money action; the money line: a staff refund is on it once and never outside the door; the CEO's is on neither) | green (8 passed)
2026-09-20 | R25 the mailing on the record: the per-jurisdiction line removed from the client page return row | apps/internal/app/clients/[id]/page.tsx | the jurisdiction-line block on the return row replaced by nothing; a completed paper filing's mailing, method and tracking number are readable nowhere in Ops | harness: tests/ops-path-b.spec.ts | yes | RED as expected (2 failed: the 1040 on extension: quoted, deposit paid, papered, consented, prepared, delivered, wet-signed, filed, acknowledged, paid, completed (37.3s) [phone]; the 1040 on extension: quoted, deposit paid, papered, consented, prepared, delivered, wet-signed, filed, acknowledged, paid, completed (28.2s) [desk]) | green (2 passed)
2026-09-20 | R27 the Ops packet step: the "Create engagement packet" button removed from the client page | apps/internal/app/clients/[id]/page.tsx | the Create engagement packet button replaced by nothing; A3b cannot be tapped and the S corp client has no packet to sign | harness: tests/ops-scorp-dry-run.spec.ts | yes | RED as expected (4 failed: quoted, accepted, signed, delivered, signed 8879-CORP, final fee, filed, acknowledged, paid, completed (19.3s) [phone]; the client page reads the finished run: filed and accepted, the return delivered, the invoice paid, the engagement completed (2.3s) [phone]; quoted, accepted, signed, delivered, signed 8879-CORP, final fee, filed, acknowledged, paid, completed (17.4s) [desk]) | green (4 passed)
2026-09-20 | R19 sync-root guard, root chain: the checkout path pointed at the old folder under the Dropbox root | scripts/check-sync-root.mjs | CHECKOUT resolved to C:\Users\brian\Dropbox\AI AGENT\saos instead of the repository root; the guard must refuse that path | guard: check:sync-root | no | RED as expected (2 failed: C:\Users\brian\Dropbox\AI AGENT\saos sits under the Dropbox root C:\Users\brian\Dropbox: a checkout under a sync root ships its env files and every ignored export to that service. Clone outside it (R19: C:\Users\brian\saos) and work from there.; C:\Users\brian\Dropbox\AI AGENT\saos has a path segment named "dropbox", a cloud-sync folder: a checkout under a sync root ships its env files and every ignored export to that service. Clone outside it (R19: C:\Users\brian\saos) and work from there.) | green (1 passed)
2026-09-20 | R19 sync-root guard, deploy.sh: the same path under the Dropbox root, refused before the receipt check | scripts/check-sync-root.mjs | CHECKOUT resolved to the old folder under the Dropbox root; scripts/deploy.sh --preflight-only must exit non-zero on the guard, not on anything after it | guard: deploy:preflight | no | RED as expected (2 failed: C:\Users\brian\Dropbox\AI AGENT\saos sits under the Dropbox root C:\Users\brian\Dropbox: a checkout under a sync root ships its env files and every ignored export to that service. Clone outside it (R19: C:\Users\brian\saos) and work from there.; C:\Users\brian\Dropbox\AI AGENT\saos has a path segment named "dropbox", a cloud-sync folder: a checkout under a sync root ships its env files and every ignored export to that service. Clone outside it (R19: C:\Users\brian\saos) and work from there.) | green (1 passed)
2026-09-20 | R31 the paper lane on an imported filed-awaiting-ack return: the method pinned to e-file regardless of the year | apps/api/src/modules/tax/import.ts | the year-derived lane replaced by the constant 'efile'; an old year is declared e-file, which CLAUDE.md forbids | api: test/trello-import.spec.ts | no | NOT RED (1 failed: test\trello-import.spec.ts) | NOT GREEN (1 failed)
2026-09-20 | R33 a closed sales-tax or payroll service: the liveness check removed, so a closed service gets an active engagement | apps/api/src/modules/engagements/import-facts.ts | the isLiveServiceFact gate before the find-or-create replaced by a constant false; a row the card marks closed creates an active sales_tax engagement | api: test/trello-import.spec.ts | no | NOT RED (1 failed: test\trello-import.spec.ts) | NOT GREEN (1 failed)
2026-09-20 | R34 the review-file reconciliation (150 names against 89 review rows) | scripts/review-file-reconciliation.mjs | no sabotage: a count over the matcher's own output files with no guard in the application to break; the script asserts that its classes sum from 150 to 89 and exits non-zero when they do not |  | no | n/a | n/a
2026-09-20 | R31 the paper lane on an imported filed-awaiting-ack return: the method pinned to e-file regardless of the year | apps/api/src/modules/tax/import.ts | the year-derived lane replaced by the constant 'efile'; an old year is declared e-file, which CLAUDE.md forbids | api: test/trello-import.spec.ts | no | RED as expected (2 failed: R31: an OLD year declares PAPER by the year’s lane, flagged, with NO mailing invented; R31: the boundary of the lane is the app’s own — the oldest e-file year is e-file, one older is paper) | green (16 passed)
2026-09-20 | R33 a closed sales-tax or payroll service: the liveness check removed, so a closed service gets an active engagement | apps/api/src/modules/engagements/import-facts.ts | the isLiveServiceFact gate before the find-or-create replaced by a constant false; a row the card marks closed creates an active sales_tax engagement | api: test/trello-import.spec.ts | no | RED as expected (1 failed: R33: a CLOSED service creates nothing, and is still applied so the second pass finds it) | green (16 passed)
2026-09-20 | R34 the review-file reconciliation (150 names against 89 review rows) | scripts/review-file-reconciliation.mjs | no sabotage: a count over the matcher's own output files with no guard in the application to break; the script asserts that its classes sum from 150 to 89 and exits non-zero when they do not |  | no | n/a | n/a
2026-09-20 | the refund switch: the off-state refusal removed from POST /invoices/:id/refund | apps/api/src/modules/billing/routes.ts | the `if (app.switches.opsRefundControl !== 'on') throw 409` block replaced by nothing; with OPS_REFUND_CONTROL=off the door still asks Stripe for a refund and records it | api: test/refund-control.spec.ts | no | RED as expected (1 failed: the switch off: 409 with the sentence before the body is read, the session says off, Stripe is never asked, and a refund made in Stripe still lands on the row) | green (12 passed)
2026-09-20 | R38 edit-door guard: the quote's "immutable because" entry removed from the registry | scripts/edit-doors.json | the quote entity keeps its create route and its create control (/pipeline) and loses its immutable reason; it now claims nothing about how a quote is edited, and Ops has no update door for it | guard: check:edit-doors | no | RED as expected (2 failed: POST /contacts/:id/align-portal-email (apps/api/src/modules/portal-auth/routes.ts:154) is a POST route scripts/edit-doors.json does not classify: name its entity (create + update or immutable because …), or list it as an action or a computation; quote: Ops creates one (apps/internal/app/pipeline/page.tsx) and cannot edit it — no update route with a UI caller, and no "immutable because …" entry) | NOT GREEN (1 failed)
2026-09-20 | R38 edit-door guard: the quote's "immutable because" entry removed from the registry | scripts/edit-doors.json | the quote entity keeps its create route and its create control (/pipeline) and loses its immutable reason; it now claims nothing about how a quote is edited, and Ops has no update door for it | guard: check:edit-doors | no | RED as expected (1 failed: quote: Ops creates one (apps/internal/app/pipeline/page.tsx) and cannot edit it — no update route with a UI caller, and no "immutable because …" entry) | green (1 passed)
2026-09-20 | R37 the public-page guard: a 401 redirects to /login on every path again, the proposal page included | apps/portal/lib/api.ts | the isPublicPath() guard in front of the /login redirect removed; a stale signed-in marker on /quote/:token sends the reader to the sign-in request page before the proposal renders | harness: tests/portal-public-links.spec.ts | yes | RED as expected (2 failed: a proposal link renders its quote with a stale signed-in marker and no session (1.6s) [phone]; a proposal link renders its quote with a stale signed-in marker and no session (932ms) [desk]) | NOT GREEN (2 failed)
2026-09-20 | R39 the Quotes card: the "Resend proposal email" control removed from the client page | apps/internal/app/clients/[id]/page.tsx | the Resend button on a sent quote's row replaced by nothing; Q3 has no control to tap at either viewport | harness: tests/ops-quotes-card.spec.ts | yes | RED as expected (2 failed: Q1–Q4: the CEO opens a quote, copies its link, resends the proposal and withdraws a draft from the Quotes card (1.5m) [phone]; Q1–Q4: the CEO opens a quote, copies its link, resends the proposal and withdraws a draft from the Quotes card (1.0s) [desk]) | NOT GREEN (1 failed)
2026-09-20 | R37 the public-page guard: a 401 redirects to /login on every path again, the proposal page included | apps/portal/lib/api.ts | the isPublicPath() guard in front of the /login redirect removed; a stale signed-in marker on /quote/:token sends the reader to the sign-in request page before the proposal renders | harness: tests/portal-public-links.spec.ts | yes | RED as expected (1 failed: a proposal link renders its quote with a stale signed-in marker and no session (16.0s) [desk]) | NOT GREEN (1 failed)
2026-09-20 | R39 the Quotes card: the "Resend proposal email" control removed from the client page | apps/internal/app/clients/[id]/page.tsx | the Resend button on a sent quote's row replaced by nothing; Q3 has no control to tap at either viewport | harness: tests/ops-quotes-card.spec.ts | yes | RED as expected (2 failed: Q1–Q4: the CEO opens a quote, copies its link, resends the proposal and withdraws a draft from the Quotes card (1.5m) [phone]; Q1–Q4: the CEO opens a quote, copies its link, resends the proposal and withdraws a draft from the Quotes card (1.5m) [desk]) | green (4 passed)
2026-09-20 | R37 the public-page guard: a 401 redirects to /login on every path again, the proposal page included | apps/portal/lib/api.ts | the isPublicPath() guard in front of the /login redirect removed; a stale signed-in marker on /quote/:token sends the reader to the sign-in request page before the proposal renders | harness: tests/portal-public-links.spec.ts | yes | RED as expected (2 failed: a proposal link renders its quote with a stale signed-in marker and no session (18.1s) [phone]; a proposal link renders its quote with a stale signed-in marker and no session (17.2s) [desk]) | green (4 passed)
